,word,count
0,"﻿








арво",1
1,"метс


",1
2,в,666
3,осенних,12
4,"лесах

избранное


















стихотворения
судьба",1
5,русского,19
6,"поэта


это",1
7,замечательно,1
8,когда,28
9,мы,48
10,можем,3
11,говорить,5
12,не,270
13,о,99
14,пресловутых,1
15,«жизни,1
16,и,483
17,творчестве»,1
18,а,71
19,судьбе,3
20,есть,15
21,люди,6
22,жизни,27
23,судьбы,4
24,второе,2
25,редкость,2
26,хотя,16
27,бы,59
28,потому,8
29,что,148
30,судьба,7
31,ведет,2
32,тех,6
33,ком,3
34,подлинность,1
35,–,16
36,«и,1
37,от,68
38,судеб,1
39,защиты,1
40,нет»,1
41,слово,8
42,«судьба»,1
43,происходит,6
44,выражения,2
45,«суд,1
46,божий»,1
47,этим,6
48,все,76
49,,812
50,сказано,2
51,"
судьба",1
52,это,79
53,предопределение,1
54,удивление,1
55,"

я",18
56,сам,14
57,"знаю
как",3
58,"меня
парня",4
59,из,80
60,эстонской,9
61,"глуши
настигла",4
62,"судьба
русского",3
63,поэта,36
64,"

ноябрь",1
65,1970го,1
66,года,12
67,страшно,3
68,подумать,1
69,наш,8
70,век,1
71,оказался,1
72,прошлым,1
73,веком,1
74,сырые,1
75,холодные,1
76,дни,2
77,я,115
78,приехал,2
79,москву,1
80,на,229
81,вступительные,2
82,экзамены,2
83,аспирантуру,2
84,литературного,5
85,института,9
86,имени,4
87,горького,3
88,твери,1
89,тогда,12
90,калинина,1
91,институт,4
92,его,93
93,таинственность,1
94,чудное,1
95,расположение,1
96,тверском,1
97,бульваре,1
98,вся,6
99,цепь,1
100,«былого,1
101,дум»,1
102,сопряженная,1
103,с,183
104,пространством,1
105,внушали,1
106,мне,30
107,восхищение,3
108,ужас,1
109,обычно,3
110,случается,1
111,провинциалом,1
112,столице,1
113,никого,1
114,знал,4
115,прославленном,1
116,заведении,1
117,пугался,1
118,углов,1
119,коридоров,2
120,аудиторий,1
121,но,74
122,более,18
123,всего,36
124,обитателей,1
125,старших,1
126,младших,1
127,великих,3
128,теней,1
129,населявших,1
130,к,129
131,тому,8
132,же,70
133,надо,6
134,было,52
135,сдавать,1
136,перед,8
137,именитой,1
138,комиссией,1
139,одним,3
140,словом,7
141,страх,1
142,трепет,1
143,голову,2
144,могло,1
145,прийти,2
146,отныне,1
147,долгиедолгие,1
148,годы,13
149,треть,1
150,века,3
151,моя,8
152,жизнь,10
153,будет,13
154,безраздельно,1
155,принадлежать,1
156,институту,1
157,"
несколько",1
158,молодых,1
159,людей,9
160,вместе,9
161,которыми,2
162,проходил,1
163,эти,19
164,испытания,1
165,вели,1
166,себя,13
167,свободно,1
168,весело,1
169,просто,3
170,посвойски,1
171,они,32
172,были,21
173,выпускниками,1
174,начинающими,1
175,поэтами,5
176,прозаиками,1
177,переводчиками,1
178,критиками,1
179,сказал,4
180,литинститутовцами,1
181,по,76
182,происхождению,1
183,прошли,2
184,учебный,1
185,творческий,2
186,курс,3
187,застолий,1
188,бесед,1
189,споров,1
190,всей,2
191,той,8
192,особенной,1
193,которая,13
194,невидимо,1
195,клубится,1
196,пределах,1
197,бывшей,1
198,городской,3
199,усадьбы,1
200,адресом,1
201,тверской,1
202,бульвар,1
203,"25
",1
204,завидовал,1
205,людям,6
206,смотрел,2
207,всех,7
208,снизу,1
209,вверх,3
210,один,14
211,них,17
212,несуетный,1
213,молодой,3
214,человек,10
215,растерянноделикатный,1
216,исполненный,1
217,печальной,1
218,скромности,1
219,привлекал,1
220,меня,18
221,походке,1
222,повадках,1
223,лице,2
224,угадывалась,1
225,нечто,3
226,«скандинавскоприбалтийское»,1
227,мягкой,2
228,неторопливости,1
229,отдельности,1
230,живущий,1
231,возле,2
232,моря,1
233,хозяин,1
234,хутора,1
235,мызы,1
236,пастор,1
237,сельской,1
238,"кирхи
это",1
239,был,27
240,арво,94
241,"метс

эстония",1
242,"моя
маленькая",1
243,"
за",6
244,"буреломами
за",2
245,разливами,3
246,"рек
вотвот",1
247,"отколется
и",2
248,"уплывет
вдаль

мы",1
249,поступили,1
250,кафедру,2
251,советской,1
252,литературы,5
253,художественного,6
254,перевода,2
255,влекли,1
256,тайны,3
257,верлибра,30
258,занимался,1
259,он,84
260,глубоко,2
261,основательно,1
262,ныне,2
263,метса,26
264,почитают,1
265,классиком,1
266,для,36
267,многих,9
268,верлибр,22
269,чужеродное,1
270,русской,16
271,поэзии,42
272,больше,18
273,годится,1
274,переводов,2
275,японской,2
276,или,36
277,китайской,1
278,классической,1
279,новейшей,2
280,европейской,1
281,лирики,1
282,хочу,3
283,вдаваться,1
284,досужие,1
285,цеховые,1
286,вопросы,2
287,первых,5
288,дней,3
289,знакомства,1
290,совершенно,8
291,ясно,3
292,метс,35
293,«поэт,2
294,национальности»,1
295,божией,1
296,милостью»,1
297,как,107
298,говаривали,1
299,старину,1
300,чистейшее,1
301,воплощение,1
302,лирика,7
303,нем,10
304,чтото,8
305,хлебниковское,1
306,«упал,1
307,облака»,1
308,этом,21
309,«падении»,1
310,узрел,1
311,пеструю,1
312,восхитительность,1
313,мира,13
314,власть,1
315,подробностей,1
316,музыку,3
317,целого,1
318,силу,3
319,лёта,1
320,волшебное,1
321,изящество,1
322,изображении,1
323,природы,2
324,состояния,1
325,души,2
326,соседствует,1
327,у,32
328,откровениями,1
329,мудреца,1
330,"провидца

пути",1
331,цивилизации,5
332,"–
от",1
333,нагорной,3
334,"проповеди
к",2
335,нагорному,3
336,"карабаху

это",1
337,игра,2
338,слов,7
339,столкновение,1
340,"смыслов
а",1
341,так,39
342,узреть,1
343,кошмар,1
344,кровавое,1
345,наваждение,1
346,9193х,1
347,годов,4
348,их,28
349,фальшь,2
350,жестокость,1
351,"

воздух
все",1
352,"густеет
",1
353,превращается,4
354,"свинец

довольно",1
355,долгое,1
356,время,22
357,после,10
358,аспирантуры,1
359,встречались,1
360,редко,5
361,родство,2
362,сохранялось,1
363,шел,1
364,между,10
365,нами,5
366,невидимый,1
367,«мысленный»,1
368,разговор,5
369,водится,1
370,руси,4
371,самом,3
372,главном,2
373,конечно,3
374,начинали,1
375,стареть,1
376,уставать,1
377,забот,1
378,бед,1
379,чуши,1
380,весь,8
381,"предчувствиях

народ",1
382,"наш
сфинкс
многомиллионноголовый…
какие",1
383,еще,36
384,"тяжести
выдюжишь",2
385,"ты
на",2
386,своих,8
387,"плечах
от",2
388,какой,6
389,"соломинки
лопнет",2
390,твое,2
391,"терпение
и",2
392,опять,6
393,"будут
реки",2
394,"крови

те",1
395,времена,4
396,впрочем,6
397,нынешние,1
398,развели,1
399,некогда,2
400,близких,3
401,неизбежность,1
402,«разрывов»,1
403,окружала,1
404,изнуряла,1
405,нас,16
406,радостно,1
407,видеть,4
408,чувствовать,1
409,родным,1
410,близким,1
411,во,24
412,всем,5
413,"
не",2
414,смотря,1
415,ни,19
416,умудрился,1
417,остаться,1
418,поэтом,6
419,стихи,37
420,сохранив,1
421,ошеломляющую,1
422,наивность,1
423,обрели,1
424,твердую,1
425,содержательную,1
426,многоликость,1
427,вот,13
428,лишь,8
429,две,9
430,сказать,8
431,«экзистенциальные»,1
432,лирические,2
433,пьесы,1
434,вещие,1
435,историософские,1
436,рисунок,1
437,прост,1
438,пронизывающая,1
439,музыка,3
440,"поразительна

",1
441,мой,8
442,"дед
сам",2
443,сколотил,1
444,"
себе
такой",1
445,"хороший
пахнущий",2
446,"смолой
гроб
я",2
447,увидел,3
448,"
на",7
449,чердаке,2
450,"
в",15
451,снопе,2
452,солнечных,4
453,лучей,2
454,"
когда",2
455,"маленьким

и",1
456,"другое

незадолго",1
457,до,20
458,кончины,3
459,"
отец
превозмогая",1
460,"боль
тщательно",2
461,"расставил
дрова",2
462,"сарае

…",2
463,"последнее
что",2
464,успел,4
465,"сделать
для",2
466,гармонии,8
467,"мира

нужно",1
468,ли,34
469,доказывать,1
470,поэзия,20
471,почему,3
472,предисловии,3
473,своей,15
474,последней,5
475,книге,3
476,«в,2
477,лесах»,1
478,1997,3
479,написал,6
480,основе,9
481,настоящей,6
482,лежит,10
483,нравственное,5
484,начало,8
485,без,21
486,которого,8
487,здание,5
488,построено,5
489,песке»,1
490,"
свой",1
491,дом,4
492,построил,2
493,вольном,1
494,просторе,1
495,верю,2
496,знаю,10
497,себе,18
498,милой,1
499,домашней,1
500,вечности,3
501,где,12
502,душа,6
503,"

…вновь",1
504,"узрит
лазурность
и",2
505,"необъятность
небосвода",1
506,"
руси



",1
507,						владимир,1
508,"смирнов



























1962",1
509,1964,2
510,комсомольскнаамуре,3
511,"пярну


под",1
512,"окном

нет",1
513,"огня
ты",1
514,"спишь
или",1
515,"спишь
утром",1
516,следов,3
517,"найдешь
остались",1
518,под,10
519,"снегом



забытая",1
520,"дверь

понурив",1
521,"голову
стоит",1
522,"дверь
в",1
523,которую,7
524,никто,4
525,"стучится
любят",1
526,стучать,2
527,бронзовую,1
528,"дверь
любят",1
529,резную,1
530,"дверь
сокровище
пылится",1
531,за,58
532,забытой,1
533,"дверью



",1
534,"

тихо",2
535,стрекочут,2
536,"часы
мы",1
537,"вдвоем
я",1
538,"
и",4
539,твои,2
540,огромные,1
541,"глаза

мы",1
542,встали,2
543,длинную,2
544,"очередь
за",1
545,"счастьем

весна",1
546,"поэта

лижу",1
547,"мороженое
хорошо",1
548,если,17
549,"лижу
значит",1
550,пришла,22
551,"весна

смотрю",1
552,"девушек
наши",1
553,взгляды,1
554,"фехтуют
побеждаю",1
555,"всех

смотрю",1
556,золотые,2
557,"ноги
я",1
558,"виноват
ноги",1
559,"красивы

лижу",1
560,"мороженое
нос",1
561,урчит,1
562,"гармонь
макушка",1
563,касается,7
564,"неба



",1
565,"

ливень",1
566,"солнца
одуванчики",2
567,"
лужицы",2
568,"траве
пчела
сосет",2
569,"солнце
как",2
570,"поросенок
ногами",2
571,золотой,4
572,"пыльце



утро

проснулся",1
573,"
ктото",2
574,шуршит,1
575,"стене
луч",1
576,солнца,6
577,рыжей,1
578,"головой
бегал",1
579,"вниз

второй",1
580,раз,12
581,проснулся,2
582,тихо,3
583,"стонет
бледный",1
584,луч,1
585,"угасал

в",1
586,третий,1
587,"
громкое",1
588,"солнце
подпрыгивало",1
589,"столе
хохотало
хлопало",1
590,"ладоши
",1
591,вставай,1
592,"соня

",1
593,отстань,1
594,"
сегодня",1
595,"воскресенье



",1
596,"

больше",1
597,"всего
люблю",1
598,тебя,6
599,"босую
рыжую",1
600,"солнца
как",1
601,медный,1
602,"таз

ты",1
603,"пропахла
водой
синим",1
604,"простором
веслами
протекающей",1
605,старой,4
606,"лодкой

		",1
607,"

по",1
608,улице,5
609,идет,7
610,женщина,3
611,"
круглая
прозрачная
как",1
612,"антоновка
она",1
613,несет,5
614,"человека
счастливы",1
615,"женщины
носящие",1
616,"будущее



		",1
617,"

люблю",2
618,"прижаться
к",1
619,шершавой,1
620,"земле
травинки",1
621,шумят,1
622,дремучие,1
623,"леса
бродят",1
624,"путешественникимуравьи
давно",1
625,улетела,1
626,"небо
последняя",1
627,капля,1
628,"росы
учусь",1
629,"смотреть
глазами",1
630,"земли



		",1
631,могу,14
632,"смотреть
когда",1
633,кондуктор,1
634,"нищий
протягивает",1
635,руку,2
636,"копейкой
и",1
637,даже,22
638,столовая,1
639,"самообслуживания
вся",1
640,"перегородках
в",1
641,четыре,3
642,гудит,2
643,"гудок
вот",1
644,идут,9
645,большие,3
646,руки,6
647,"головы
вот",1
648,голова,1
649,"
без",1
650,"рук

1962


		",1
651,уснули,2
652,"сопки
росинки",1
653,"отражают
звездный",1
654,"свет
темные",1
655,"листья
начинают",1
656,песню,2
657,"ночи
пахнут
будущие",1
658,"грибы



		",1
659,"

на",4
660,тебе,7
661,играет,2
662,"листва
солнечные",1
663,"лучи
перебирают",1
664,"пальцами
и",1
665,"трогают
разные",1
666,"голоса
трепещешь",1
667,"прикосновений
а",1
668,"слышат
только",1
669,мои,6
670,"глаза



		",1
671,"

вечерами",1
672,"девушки
шли",1
673,"танцплощадку
перепрыгивая",1
674,через,18
675,"канавы
туфельки",1
676,бережно,3
677,"неся
в",1
678,"ладонях
словно",1
679,капельки,3
680,"счастья


осенние",1
681,"прогулки

легко",1
682,"ранить
звуком",1
683,"баяна
уголким",1
684,желтого,1
685,"листа



		",1
686,"

как",8
687,"сладко
превращаться",1
688,"пух
стать",1
689,"легким
как",1
690,ненаписанный,1
691,"стих
светлые",1
692,"линии
орнаменты
пятна
когда",1
693,прилетает,1
694,"жарптица
я",1
695,уже,19
696,"сплю



		",1
697,уплывать,2
698,"темноту
никто",1
699,"увидит
грустные",1
700,"глаза
никто",1
701,"смеется
над",1
702,"костюмом
чарли",1
703,"чаплина
вернусь",1
704,"разложу
белый",1
705,лист,3
706,"столе
так",1
707,живу,1
708,"
как",4
709,"чудище
из",1
710,аленького,1
711,"цветочка


		",1
712,"

страшно",1
713,"дереве
два",1
714,"листа
тепло",1
715,уходит,2
716,"ствол
как",1
717,"покойник
опускается",1
718,"корни
у",1
719,тепла,1
720,спина,1
721,"сырости

вот",1
722,падают,1
723,"листья



		",1
724,"слышал
тяжелое",1
725,"дыхание
за",2
726,"дверью
открыл",1
727,нашел,1
728,пьяного,1
729,"парня
лежал",1
730,"труп
в",1
731,остроносых,1
732,"ботинках
рядом",1
733,"рвота
как",1
734,мясо,1
735,"кеты

с",1
736,"пор
часто",1
737,"слышу
тяжелое",1
738,"дверью
открываю",1
739,"
никого",1
740,"нет
но",1
741,"
парень
лежит",1
742,"гдето
и",1
743,стонет,1
744,сквозь,4
745,"сон

комсомольскнаамуре",1
746,"1962


		",1
747,"

безденежный",1
748,"человек
ходит",2
749,"городу
туманные",1
750,"звезды
дрожат",1
751,"морозе

безденежный",1
752,"
безрукий",1
753,"человек
безногий",1
754,"человек
безглазый",1
755,"человек

в",1
756,городе,1
757,зажигаются,1
758,"огни
и",1
759,видят,3
760,"
у",1
761,безденежного,3
762,"человека
голубые",1
763,"глаза

это",1
764,"помогает



		",1
765,"

ктото",1
766,"прядет
внутри",1
767,"котенка
",1
768,нурнур,2
769,"нурнур
иногда",1
770,"засыпает
смотрит",1
771,"окно

снежинки",1
772,"летят



		",1
773,"

поезд",1
774,заорал,2
775,маленький,4
776,"ослик
тихонько",1
777,стал,9
778,"ступать
три",1
779,серебристые,1
780,елочки,1
781,"стекле



		",1
782,"

изза",1
783,"туч
выходит",1
784,"луна
земля",1
785,полна,2
786,"звона
в",1
787,такую,1
788,"ночь
распускаются
ледяные",1
789,"розы



		",1
790,"

девушки",1
791,ткут,2
792,"голосами
звонкую",1
793,"пряжу
песня",1
794,"замирает
если",1
795,чьито,1
796,"шаги
приближаются",1
797,"двери
девушки",1
798,"поют
заманивают",1
799,"себе



		",1
800,"

желтый",1
801,"лист
плывет
мимо",1
802,моего,4
803,"лица
чтото",1
804,"говорит
чтото",1
805,"поет
и",1
806,"даже
упрекает",1
807,"чемто

		",1
808,"

синий",1
809,белый,8
810,"февраль
я",1
811,"сам
почему",1
812,иду,3
813,"березе
и",1
814,смотрю,3
815,"вверх
в",1
816,"небо
стою",1
817,"стою



в",1
818,"цехе

хочу",1
819,"увидеть
только",1
820,мыслях,1
821,можно,19
822,"увидеть
как",1
823,"металла
солидола",1
824,"ругани
встают",1
825,гриновские,1
826,"города

хочу",1
827,обнять,1
828,"красоту
и",1
829,никак,2
830,"могу
между",1
831,трудом,5
832,"красотой
десять",1
833,"превращений



		",1
834,"

утро",1
835,рабочего,2
836,"дня
не",1
837,спрашивает,1
838,"желаниях
железной",1
839,"рукой
поднимаю",1
840,"постели
в",1
841,ночи,2
842,черные,1
843,"тени
от",1
844,метели,1
845,слипаются,1
846,"веки
но",1
847,"метели
не",1
848,заносит,1
849,заводскую,1
850,"дорогу
в",1
851,непрерывно,1
852,"идут
черные",1
853,"тени


		",2
854,"

человек",1
855,встает,3
856,"кассы
ищет",1
857,"кармане
протягивает",1
858,узенькую,1
859,щелочку,1
860,"
мы",4
861,живем,1
862,"луне
деньги",1
863,"кислород
отпущенный",1
864,нам,11
865,"баллонах



в",1
866,читальном,2
867,"зале

девушки",1
868,особенно,5
869,"земные
когда",1
870,"сидят
в",1
871,"чулках
а",1
872,"туфельки
словно",1
873,футляры,1
874,"скрипок
рядом",1
875,"лежат
на",1
876,"боку



		",1
877,"

в",12
878,голубой,3
879,"коляске
лежит",1
880,"он
с",1
881,"соской
в",1
882,тихих,3
883,"глазах
отражаются",1
884,"небо
и",1
885,"птицы
плывущие",1
886,"высоко
наклонившись
я",1
887,вдруг,6
888,"увидел
самого",1
889,стареньком,2
890,"пальто


		",1
891,"

поэт",1
892,стоит,7
893,очереди,2
894,"вермишелью
здесь",1
895,"почитательницы
поэту",1
896,немного,5
897,"стыдно
он",1
898,стоял,1
899,"эстраде
словно",1
900,"принц
который",1
901,никогда,4
902,"ест



		",1
903,"

молодые",1
904,"девушки
похожи",1
905,"лицом
на",2
906,"небо
на",1
907,"ветер
на",1
908,"облака
потом",1
909,"получаются
верные",1
910,"жены
лица",1
911,которых,13
912,"похожи
на",1
913,"дома
на",1
914,"мебель
на",1
915,хозяйственные,1
916,"сумки
но",1
917,"дочери
вновь",1
918,похожи,1
919,небо,7
920,"ветер
и",1
921,весенние,2
922,"ручейки


		",1
923,помню,7
924,"детства
запах",1
925,"земли
помню",1
926,"полол
руки",1
927,словно,11
928,"перчатках
из",1
929,меха,1
930,"крота
положил",1
931,"ктонибудь
на",1
932,"щеку
такую",1
933,"руку



		",1
934,"

		памяти",1
935,"эрны
		отрывок

трудиться
порой",1
936,"улыбаться
выйти",1
937,замуж,1
938,рожать,1
939,"детей
посылать",1
940,письма,3
941,"будущее
и",1
942,превратиться,1
943,снова,1
944,"землю
в",1
945,таится,1
946,некий,2
947,упорный,1
948,"смысл
который",1
949,"ищу


		",1
950,"

мне",1
951,нести,4
952,"собой
дали
соленый",1
953,"воздух
запах",1
954,"кедров
чтобы",1
955,"выросших
среди",1
956,городских,1
957,"камней
бледных",1
958,"девушек
перехватило",1
959,"дыхание
в",1
960,"изысканных
нарядах
глядели",1
961,"очарованные
когда",1
962,"иду
где",1
963,"возьму
я",1
964,бледнее,1
965,"их

1965",1
966,1986,2
967,"москва


на",1
968,"эскалаторе

людям",1
969,"смотреть
и",2
970,глядят,1
971,вперед,1
972,"
будто",2
973,"вечность
сосредоточенные",1
974,"лица
свободные",1
975,"мелочей
так",1
976,изобразят,1
977,"нас
на",1
978,мозаиках,1
979,"будущего
а",1
980,сходим,1
981,"лестницы
и",1
982,становимся,1
983,"людьми



		",1
984,"

дома",1
985,"трамваи
магазины",1
986,"кастрюли
хожу",1
987,среди,6
988,"них
как",1
989,"марсианин
среди",1
990,"памятников
непонятной",1
991,"цивилизации
поставленной",1
992,"наспех
для",1
993,"потребностей
а",1
994,гдето,4
995,"внутри
по",1
996,тихим,2
997,углам,2
998,"
кристаллы",1
999,"музыки



		",1
1000,"

после",3
1001,"поэтов
не",1
1002,любящих,2
1003,"простоты
я",1
1004,ее,32
1005,"истокам
хочу",1
1006,"домой
где",1
1007,отец,5
1008,"садовник
и",1
1009,собирает,2
1010,"книги
мать",1
1011,"полнеет
и",1
1012,задыхается,1
1013,"себе
меня",1
1014,мою,1
1015,"поэзию
запутанную",1
1016,"поиски



		",1
1017,"

весь",1
1018,"день
я",1
1019,искал,4
1020,"одиночества
чтобы",1
1021,слушать,1
1022,"тебя

ты",1
1023,гудишь,1
1024,"мне
как",1
1025,"орган
в",1
1026,высокой,2
1027,"церкви



		",1
1028,огромном,2
1029,"городе
столько",1
1030,красивых,1
1031,"девушек
любуюсь",1
1032,ими,2
1033,"устали
иногда",1
1034,улыбаются,1
1035,"мне
и",3
1036,вполне,2
1037,"счастлив
и",1
1038,только,34
1039,вечеру,1
1040,"замечаю
что",1
1041,остался,2
1042,"один


		",1
1043,"

личность",1
1044,"мгновенна
на",1
1045,улицах,3
1046,города,3
1047,"
подобно",1
1048,вспышке,2
1049,"магния



		",1
1050,"

здесь",2
1051,поют,3
1052,городские,3
1053,соловьи,2
1054,"
визжат",1
1055,пронзительно,3
1056,"тормоза
и",1
1057,бегут,2
